student_id,student_name,teacher_id,teacher_name,confidence,source,match_quality,evidence,source_url
938,Pablo Silva,2985,Marcelo Azevedo,high,bio_extraction,exact,"Brazilian Jiu Jitsublack belt under Marcelo Azevedo, and a former Gracie Barra – Belo Horizonte team representa",https://www.bjjheroes.com/?p=938
9344,Paul Schreiner,6531,Richard Martinez,medium,bio_extraction,initial,"Barch, is ajiu-jitsublack belt under Richie Martinez and Eddie Bravo, being one of the main representatives of the 10th Pl",https://www.bjjheroes.com/?p=9344
1870,Paulo Filho,22,Carlson Gracie,high,bio_extraction,exact,Brazilian jiu jitsublack belt under the legendary Master Carlson Gracieand a formerworld championin the sport. Filho is also a judo black belt as we,https://www.bjjheroes.com/?p=1870
10220,Paulo Gabriel Martins,903,Leticia Ribeiro,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Letícia Ribeiro and Fabrício Camões(Morango), who worked extensively with Severino Soare",https://www.bjjheroes.com/?p=10220
14196,Paulo Merlin,2357,Ana Laura Cordeiro,high,bio_extraction,exact,"jitsu athlete and a black belt in this martial art under Ana Laura Cordeiro and Rafael Pinto, although he worked extensively with Edvaldo M",https://www.bjjheroes.com/?p=14196
11862,Pedro Alex,11917,Gabriel Marinho,high,bio_extraction,exact,"ro , is a jiu-jitsu black belt under Gabriel Marinho and a representative of the GF Team in the sport's international",https://www.bjjheroes.com/?p=11862
10263,Pedro Crixel,1155,Cicero Costha,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Cicero Costha, who worked extensively with Guilherme and Guto Campos, as",https://www.bjjheroes.com/?p=10263
9741,Pedro Elias,1167,Augusto Ferrari,high,bio_extraction,exact,Brazilian jiu-jitsublack belt under Augusto Ferrariwho is one of the main representatives of the New School Brotherhood i,https://www.bjjheroes.com/?p=9741
13339,Pedro Lucas,8762,Rodrigo Ribeiro,high,bio_extraction,exact,"cas, is a jiu-jitsu black belt under Rodrigo Ribeiro (his father) and Honorio Filho, who also worked extensively",https://www.bjjheroes.com/?p=13339
8448,Pedro Ramalho,7396,Manoel Neto,high,bio_extraction,exact,",Brazilian jiu-jitsublack belt under Manoel Netoand a representative of team Focus in the sport/martial art's international circ",https://www.bjjheroes.com/?p=8448
11044,Pedro Veras,1155,Cicero Costha,high,bio_extraction,exact,"Veras is ajiu-jitsublack belt under Cicero Costha, being one of the top representatives of Costha's PSLPB tea",https://www.bjjheroes.com/?p=11044
1050,Penny Thomas,3245,Luis Heredia,high,bio_extraction,exact,"female division. A black belt under Luis Herédia, Thomas won against a of elite grapplers, having achieved g",https://www.bjjheroes.com/?p=1050
7847,Philippe Balmant,16,Marcelo Garcia,high,bio_extraction,exact,Brazilian jiu jitsublack belt under Marcelo Garciaand a well respected instructor at Alliance Jiu Jitsu New York (MGA).,https://www.bjjheroes.com/?p=7847
10399,Philippe Pomaski,419,Leonardo Vieira,high,bio_extraction,exact,"Brazilian jiu-jitsu black belt under Leonardo Vieira, who also worked extensively with Gabriel Rollo(Palito),Thi",https://www.bjjheroes.com/?p=10399
14227,Pierre Olivier-Leclerc,9859,Firas Zahabi,high,bio_extraction,exact,"dian grappler and a black belt in Jiu-Jitsu under Firas Zahabi, as well as a representative of the Montreal, Quebec-based",https://www.bjjheroes.com/?p=14227
8241,Radoslaw Turek,666,Alexandre Paiva,high,bio_extraction,exact,"Brazilian jiu jitsublack belt under Alexandre Paiva of Alliance, being also the head coach of the Berserkers Team in Warsaw",https://www.bjjheroes.com/?p=8241
6599,Rafael Mansur,7760,Pedro Mello,high,bio_extraction,exact,"u jitsuathlete, and black belt under Pedro Mello, also revered as one of the most talented representatives o",https://www.bjjheroes.com/?p=6599
12048,Rafael dos Anjos Torres,147,Rubens Charles,high,bio_extraction,exact,"re), is a jiu-jitsu black belt under Rubens Charles (Cobrinha)who worked extensively with Alexandre Paiva (Gigi",https://www.bjjheroes.com/?p=12048
576,Rafael Lovato Jr,745,Carlos Machado,high,bio_extraction,exact,Brazilian Jiu-Jitsublack belt under Carlos Machadowho also worked extensively with the Ribeiro Brothers (Saulo and Alexandre),https://www.bjjheroes.com/?p=576
10174,Rafael Paganini,122,Michael Langhi,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Michael Langhi and Fábio Gurgelof the Alliance Academy, who represents Dream Art and",https://www.bjjheroes.com/?p=10174
14188,Rafael Trabuco,2416,Felipe Pena,high,bio_extraction,exact,"ler and a jiu-jitsu black belt under Felipe Pena (Preguiça), who worked extensively with Alexandre Moreto (",https://www.bjjheroes.com/?p=14188
11656,Rafaela Guedes,144,Andre Galvao,high,bio_extraction,exact,"edes is a jiu-jitsu black belt under André Galvão and Angelica Galvão, who also worked extensively with coach Daílson Pinh",https://www.bjjheroes.com/?p=11656
8407,Raquel Paaluhi Canuto,378,Robert Drysdale,high,bio_extraction,exact,Brazilian jiu-jitsublack belt under Robert Drysdaleand a representative of the Zenith team in the sport's international circuit whi,https://www.bjjheroes.com/?p=8407
177,Rany Yahya,1236,Antonio Carlos Junior,medium,bio_extraction,initial,"Brazilian jiu jitsu black belt under Athaíde Junior, having won one of the most important submission wrestling",https://www.bjjheroes.com/?p=177
7539,Renato Forasieppi Canuto,7505,Valdir Canuto,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under his father Valdir Canuto, being also one of the top representatives of team Checkmat",https://www.bjjheroes.com/?p=7539
548,Renato Migliaccio,6683,Ryan Gracie,high,bio_extraction,exact,"th-degree Jiu-Jitsu black belt under Ryan Gracie and a 4th-degree Judo black belt, two sports in which he competed",https://www.bjjheroes.com/?p=548
8213,Raul Gomes,6339,Admilson Brites,high,bio_extraction,exact,"Brazilian jiu jitsublack belt under Admilson Brites(Juquinha), being also one of the top rooster-weights Peso G",https://www.bjjheroes.com/?p=8213
11534,Raul Basilio,7672,Caio Almeida,high,bio_extraction,exact,"ílio is a jiu-jitsu black belt under Caio Almeida and Diogo Almeida, who is a representative of the Almeida Jiu-Jitsu t",https://www.bjjheroes.com/?p=11534
1149,Reinaldo Ribeiro,935,Leonardo Castello Branco,high,bio_extraction,exact,Brazilian jiu jitsu black belt under Leonardo Castello Brancowho is widely recognized as one of the top competitors of his gene,https://www.bjjheroes.com/?p=1149
1325,Ricardo Cavalcanti,22,Carlson Gracie,high,bio_extraction,exact,", having earned his black belt under the legendary Carlson Gracie(1995), later receiving his coral belt by Reylson Gracie(Feb",https://www.bjjheroes.com/?p=1325
8202,Ricardo Feliciano,419,Leonardo Vieira,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Leonardo Vieiraand a Checkmatteam representative in competitive jiu-jitsu, while being also T",https://www.bjjheroes.com/?p=8202
8409,Ricardo Marques,895,Sergio Souza,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Sérgio Souzaand a member of the Brazilian Top Team (BTT) academy, being the founder",https://www.bjjheroes.com/?p=8409
338,Ricardo Vieira,355,Romero Cavalcanti,high,bio_extraction,exact,Brazilian jiu-jitsublack belt under Romero Cavalcantiand a former International Brazilian Jiu-Jitsu Federation (IBJJF) and Co,https://www.bjjheroes.com/?p=338
9094,Richar Nogueira,1155,Cicero Costha,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Cicero Costha, having also worked extensively with coaches Alexandre Lope",https://www.bjjheroes.com/?p=9094
10357,Richard Alarcon,5000,Givanildo Santana,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Givanildo Santanaof the One Jiu-Jitsu Academy, who also worked extensively with Matt Sa",https://www.bjjheroes.com/?p=10357
11064,Rider Zuchi,1188,Leandro Lo,high,bio_extraction,exact,"Brazilian jiu-jitsu black belt under Leandro Lo, who worked extensively with a number of other illustrious",https://www.bjjheroes.com/?p=11064
5761,Rikako Yuasa,3348,Yukinori Sasa,high,bio_extraction,exact,",Brazilian jiu jitsublack belt under the prestigious Yukinori Sasa, being also one of the most accomplished female competitors",https://www.bjjheroes.com/?p=5761
601,Roberto Godoi,1097,Waldomiro Perez,high,bio_extraction,exact,Brazilian Jiu Jitsu black belt by Waldomiro Perez(Junior). Godoi was one of the top competitors of his genera,https://www.bjjheroes.com/?p=601
1204,Roberto Traven,355,Romero Cavalcanti,high,bio_extraction,exact,"f the millennium. A black belt under Romero Cavalcanti, Traven conquered some of the most prestigious tournaments",https://www.bjjheroes.com/?p=1204
11281,Robson Lima,5869,Jorge Pereira,medium,bio_extraction,initial,"-Mau is a jiu-jitsu black belt under Master Júlio César Pereira, who also worked extensively with Luiz Roberto Delvivo (Lul",https://www.bjjheroes.com/?p=11281
247,Rodolfo Vieira,5869,Jorge Pereira,medium,bio_extraction,initial,"Brazilian jiu-jitsublack belt under Master Julio César Pereira, who is widely regarded as one of the best heavyweight Gi c",https://www.bjjheroes.com/?p=247
1207,Rodrigo Cabral,419,Leonardo Vieira,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Leonardo Vieiraof the Checkmat Team, who was once regarded as one of the most promising st",https://www.bjjheroes.com/?p=1207
8696,Rodrigo Carvalho,6342,Pedro Duarte,medium,bio_extraction,initial,"Brazilian jiu jitsublack belt under the legendary Pascoal Duarte and Marcio Antony, being also one of the most revered coaches and busi",https://www.bjjheroes.com/?p=8696
631,Rodrigo Caporal,640,Ramon Lemos,high,bio_extraction,exact,"Brazilian Jiu Jitsu black belt under Ramon Lemos, who competed for one of the most prolific grappling teams",https://www.bjjheroes.com/?p=631
12566,Rodrigo Lopes,3028,Leandro Escobar,high,bio_extraction,exact,"go , is a jiu-jitsu black belt under Leandro Escobar(also named Tatu) and a representative of the Double Five Ac",https://www.bjjheroes.com/?p=12566
559,Rodrigo Medeiros,355,Romero Cavalcanti,high,bio_extraction,exact,Brazilian Jiu Jitsu black belt under Romero Cavalcanti. This two time world champion in the open weight division was has a f,https://www.bjjheroes.com/?p=559
9720,Rodrigo Munduruca,1631,Sylvio Behring,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Sylvio Behring and Maurício Pereira(RIP), who moved to Canada in 1999, helping the deve",https://www.bjjheroes.com/?p=9720
1440,Rodrigo Ranieri,6006,Paulo Rezende,high,bio_extraction,exact,"Brazilian Jiu Jitsu black belt under Master Paulo Rezende, and one of the best fighters to have come out of the city",https://www.bjjheroes.com/?p=1440
10321,Rodrigo Siqueira,11701,Luciano Nucci,high,bio_extraction,exact,Brazilian jiu-jitsu black belt under Luciano Nucci (Casquinha) and a representative of the Alliance Jiu-Jitsu,https://www.bjjheroes.com/?p=10321
12251,Roiner Lima,6792,Cassio Francis,high,bio_extraction,exact,"Lima is a jiu-jitsu black belt under Cássio Francis(Cassão), who worked extensively with Rosier Lima and Lucas",https://www.bjjheroes.com/?p=12251
